city,Cloudiness,country,Date,Humidity,lat,lng,Max_Temp,Wind Speed
rikitea,0.0,pf,2018-05-24 14:05:10,100.0,-55.13930170971912,-136.5332648861989,4.22,5.66
amderma,24.0,ru,2018-05-24 14:05:11,90.0,70.318332304732,61.410120303739205,-6.24,7.41
maridi,64.0,sd,2018-05-24 14:05:13,62.0,5.133419547806113,30.44153170851024,29.82,2.41
punta arenas,68.0,cl,2018-05-24 14:05:14,100.0,-64.39051647489738,-85.67267123994397,-0.54,6.81
thompson,0.0,ca,2018-05-24 14:05:16,52.0,55.02385047768854,-94.4908497687694,25.02,3.61
port alfred,36.0,za,2018-05-24 14:05:17,100.0,-39.48872837035843,27.771179617596033,12.11,5.56
barrow,68.0,us,2018-05-24 14:05:18,98.0,86.48694667403953,-161.68539159924094,-1.74,6.56
mataura,92.0,pf,2018-05-24 14:05:20,91.0,-68.91823534453795,-144.90172893305547,1.17,18.21
belushya guba,0.0,ru,2018-05-24 14:05:21,94.0,86.9215824938745,59.5786916004636,-8.04,3.81
ushuaia,0.0,ar,2018-05-24 14:05:23,89.0,-86.5579035802421,-54.91914901770801,-42.99,11.31
tahta,36.0,eg,2018-05-24 14:05:24,29.0,24.698161943761846,28.9836328572095,31.97,3.01
hat yai,75.0,th,2018-05-24 13:30:00,94.0,7.14726363052587,100.057967174711,26.0,1.11
victoria point,76.0,au,2018-05-24 14:05:27,100.0,-27.414098201205427,154.19088851399772,21.77,4.81
along,80.0,in,2018-05-24 14:05:28,100.0,30.613329369555586,94.79336411232458,-1.69,0.31
castro,92.0,cl,2018-05-24 14:05:30,96.0,-46.692982142008475,-77.75733937938352,10.67,4.71
cape town,92.0,za,2018-05-24 14:05:31,100.0,-36.41079482498713,17.459565457918274,14.61,8.76
hermanus,80.0,za,2018-05-24 14:05:33,100.0,-60.32300581926811,14.336392610745577,-0.49,13.91
puerto maldonado,0.0,pe,2018-05-24 13:00:00,77.0,-12.21095436287068,-69.43776677253445,21.0,1.66
buraydah,0.0,sa,2018-05-24 13:00:00,18.0,27.106389158383024,41.85913409084051,33.0,9.3
ozgon,0.0,kg,2018-05-24 14:05:37,86.0,39.26578774733369,74.12128443072234,-11.04,0.86
bathsheba,76.0,bb,2018-05-24 14:05:38,100.0,14.361222895151329,-51.51379889286915,25.17,7.21
grindavik,36.0,is,2018-05-24 14:05:40,100.0,53.670177557367765,-24.687214404082,9.86,6.46
bosaso,32.0,so,2018-05-24 14:05:41,93.0,12.13886180555474,48.60582422375771,31.02,4.31
pevek,8.0,ru,2018-05-24 14:05:43,92.0,87.37375542256015,174.26761115869556,-4.74,5.21
campbell river,75.0,ca,2018-05-24 13:00:00,81.0,49.91166729198943,-125.8430097612206,12.0,1.5
itapetininga,36.0,br,2018-05-24 14:05:46,73.0,-23.761210871851773,-48.10706599896713,19.11,2.71
arraial do cabo,48.0,br,2018-05-24 14:05:47,100.0,-30.194356649404874,-32.82686693691312,21.17,10.56
maniitsoq,76.0,gl,2018-05-24 14:05:49,100.0,64.18767703285906,-56.519441869624174,-1.34,4.36
kingston,5.0,us,2018-05-24 13:45:00,33.0,41.784066918120885,-74.21839844190751,22.0,2.1
tongchuan,24.0,cn,2018-05-24 14:05:51,80.0,30.81115192722541,104.922131819132,20.57,2.51
severo-yeniseyskiy,32.0,ru,2018-05-24 14:05:53,92.0,63.319055239263946,92.91481347887395,-0.94,4.96
illoqqortoormiut,64.0,gl,2018-05-24 14:05:54,97.0,79.66998613405934,-21.118144192050067,-8.09,0.71
bluff,20.0,nz,2018-05-24 14:05:55,39.0,-70.89099794721089,161.76755757286452,-32.94,3.11
